modeled_time,plants_baseline,plants_experiment,rabbits_baseline,rabbits_experiment,voles_baseline,voles_experiment,foxes_baseline,foxes_experiment,owls_baseline,owls_experiment,capacity_baseline,capacity_experiment,refuge_cover_percent_baseline,refuge_cover_percent_experiment
5.6,132.68270,132.68270,21.33451,21.33451,5.43977,5.43977,10.19475,10.19475,6.51096,6.51096,160.00,160.00,0.00,0.00
5.7,133.17739,133.17739,21.04406,21.04406,5.21194,5.21194,10.19912,10.19912,6.49232,6.49232,160.00,160.00,0.00,0.00
5.8,133.66832,133.66832,20.75315,20.75315,4.99114,4.99114,10.20265,10.20265,6.47266,6.47266,160.00,160.00,0.00,0.00
5.9,134.15527,134.15527,20.46189,20.46189,4.77731,4.77731,10.20535,10.20535,6.45200,6.45200,160.00,160.00,0.00,0.00
6.0,134.63806,134.63806,20.17038,20.17038,4.57040,4.57040,10.20721,10.20721,6.43037,6.43037,160.00,160.00,0.00,0.00
6.1,135.11648,135.11648,19.87873,19.87873,4.37032,4.37032,10.20821,10.20821,6.40778,6.40778,160.00,160.00,0.00,0.00
6.2,135.59037,135.59037,19.58705,19.58705,4.17700,4.17700,10.20836,10.20836,6.38425,6.38425,160.00,160.00,0.00,0.00
6.3,136.05956,136.05956,19.29546,19.29546,3.99033,3.99033,10.20763,10.20763,6.35982,6.35982,160.00,160.00,0.00,0.00
6.4,136.52388,136.52388,19.00405,19.00405,3.81023,3.81023,10.20603,10.20603,6.33450,6.33450,160.00,160.00,0.00,0.00
6.5,136.98321,136.98321,18.71296,18.71296,3.63660,3.63660,10.20355,10.20355,6.30833,6.30833,160.00,160.00,0.00,0.00
6.6,137.43741,137.43741,18.42229,18.42229,3.46931,3.46931,10.20018,10.20018,6.28133,6.28133,160.00,160.00,0.00,0.00
6.7,137.88634,137.88634,18.13216,18.13216,3.30826,3.30826,10.19592,10.19592,6.25353,6.25353,160.00,160.00,0.00,0.00
6.8,138.32991,138.32991,17.84268,17.84268,3.15332,3.15332,10.19076,10.19076,6.22497,6.22497,160.00,160.00,0.00,0.00
