minute,generation_kW,demand_kW,direct_kW,charge_kW,discharge_kW,grid_kW,unserved_kW,curtailed_kW,stored_kWh,reserve_kWh,gridAvailable,primaryGeneration_kW,companionGeneration_kW,baselineDemand_kW,shiftedOut_kW,shiftedIn_kW,gridRequested_kW,gridLimited_kW,gridUnavailable_kW,gridCapacity_kW,gridHeadroom_kW
110,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.7260690240054948,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
111,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.7062899623694676,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
112,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.6865109007334405,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
113,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.6667318390974133,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
114,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.6469527774613861,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
115,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.627173715825359,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
116,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.6073946541893318,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
117,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.5876155925533046,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
118,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.5678365309172775,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
119,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.5480574692812503,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
120,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.5282784076452232,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
121,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.508499346009196,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
122,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.4887202843731688,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
123,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.4689412227371417,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
124,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.4491621611011145,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
125,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.4293830994650873,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
126,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.4096040378290602,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
127,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.389824976193033,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
128,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.3700459145570059,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
129,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.3502668529209787,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
130,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.3304877912849515,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
131,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.3107087296489244,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
132,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.2909296680128972,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
133,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.27115060637687,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
134,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.251371544740843,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
135,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.2315924831048157,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
136,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.2118134214687886,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
137,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.1920343598327614,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
138,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.1722552981967342,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
139,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.152476236560707,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
140,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.13269717492468,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
141,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.1129181132886528,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
