minute,generation_kW,demand_kW,direct_kW,charge_kW,discharge_kW,grid_kW,unserved_kW,curtailed_kW,stored_kWh,reserve_kWh,gridAvailable,primaryGeneration_kW,companionGeneration_kW,baselineDemand_kW,shiftedOut_kW,shiftedIn_kW
51,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
52,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
53,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
54,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
55,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
56,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
57,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
58,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
59,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
60,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
61,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
62,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
63,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
64,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
65,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
66,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
67,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
68,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
69,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
70,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
71,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
72,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
73,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
74,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
75,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
76,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
