minute,generation_kW,demand_kW,direct_kW,charge_kW,discharge_kW,grid_kW,unserved_kW,curtailed_kW,stored_kWh,reserve_kWh,gridAvailable,primaryGeneration_kW,companionGeneration_kW,baselineDemand_kW,shiftedOut_kW,shiftedIn_kW,gridRequested_kW,gridLimited_kW,gridUnavailable_kW,gridCapacity_kW,gridHeadroom_kW
64,5.063466603637215,3,3,2.063466603637215,0,0,0,0,3.330739275965058,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
65,5.063466603637215,3,3,2.063466603637215,0,0,0,0,3.363000996890289,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
66,5.227048295063626,3,3,2.227048295063626,0,0,0,0,3.39526271781552,0,false,0.5965920510845575,4.630456243979069,3,0,0,0,0,0,0,0
67,5.390629986490037,3,3,2.390629986490037,0,0,0,0,3.430081992552368,0,false,0.7601737425109684,4.630456243979069,3,0,0,0,0,0,0,0
68,5.554211677916448,3,3,2.554211677916448,0,0,0,0,3.4674588211008324,0,false,0.9237554339373794,4.630456243979069,3,0,0,0,0,0,0,0
69,5.717793369342859,3,3,2.717793369342859,0,0,0,0,3.5073932034609134,0,false,1.0873371253637902,4.630456243979069,3,0,0,0,0,0,0,0
70,5.88137506076927,3,3,2.88137506076927,0,0,0,0,3.5498851396326114,0,false,1.2509188167902014,4.630456243979069,3,0,0,0,0,0,0,0
71,5.260483377165723,3,3,2.2604833771657233,0,0,0,0,3.594934629615926,0,false,1.4145005082166122,3.8459828689491107,3,0,0,0,0,0,0,0
72,4.733608477139927,3,3,1.733608477139927,0,0,0,0,3.6302766524728494,0,false,1.578082199643023,3.1555262774969037,3,0,0,0,0,0,0,0
73,4.294749289399684,3,3,1.2947492893996841,0,0,0,0,3.6573811342146514,0,false,1.7416638910694335,2.5530853983302504,3,0,0,0,0,0,0,0
74,3.9379047426528,3,3,0.9379047426528002,0,0,0,0,3.677624175788053,0,false,1.9052455824958447,2.0326591601569555,3,0,0,0,0,0,0,0
75,2.068827273922256,3,2.068827273922256,0,0.9311727260777438,0,0,0,3.6922880530752256,0,false,2.068827273922256,0,3,0,0,0,0,0,0,0
76,2.2324089653486667,3,2.2324089653486667,0,0.7675910346513333,0,0,0,3.6757441620543436,0,false,2.2324089653486667,0,3,0,0,0,0,0,0,0
77,2.3959906567750773,3,2.3959906567750773,0,0.6040093432249227,0,0,0,3.6621065821830263,0,false,2.3959906567750773,0,3,0,0,0,0,0,0,0
78,2.5595723482014883,3,2.5595723482014883,0,0.44042765179851173,0,0,0,3.651375313461273,0,false,2.5595723482014883,0,3,0,0,0,0,0,0,0
79,2.7231540396279,3,2.7231540396279,0,0.27684596037209985,0,0,0,3.6435503558890847,0,false,2.7231540396279,0,3,0,0,0,0,0,0,0
80,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.638631709466461,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
81,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.636619374193401,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
82,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.6346070389203415,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
83,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.632594703647282,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
84,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.630582368374222,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
85,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.6285700331011626,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
86,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.626557697828103,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
87,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.6245453625550432,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
88,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.6225330272819836,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
89,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.620520692008924,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
90,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.6185083567358642,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
91,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.6164960214628046,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
92,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.614483686189745,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
