"minute","local_gap_kW","grid_kW","unserved_kW","no_bank_kW","power_limit_kW","stored_energy_limit_kW","strategy_held_kW","grid_limit_unserved_kW","grid_unavailable_unserved_kW"
145,8,0,8,0,3,0,5,0,8
146,8,0,8,0,3,0,5,0,8
147,8,0,8,0,3,0,5,0,8
148,8,0,8,0,3,0,5,0,8
149,8,0,8,0,3,0,5,0,8
150,8,8,0,0,3,0,5,0,0
151,8,8,0,0,3,0,5,0,0
152,8,8,0,0,3,0,5,0,0
153,8,8,0,0,3,0,5,0,0
154,8,8,0,0,3,0,5,0,0
155,8,8,0,0,3,0,5,0,0
156,8,8,0,0,3,0,5,0,0
157,8,8,0,0,3,0,5,0,0
158,8,8,0,0,3,0,5,0,0
159,8,8,0,0,3,0,5,0,0
160,8,8,0,0,3,0,5,0,0
161,8,8,0,0,3,0,5,0,0
162,8,8,0,0,3,0,5,0,0
163,8,8,0,0,3,0,5,0,0
164,8,8,0,0,3,0,5,0,0
165,8,8,0,0,3,0,5,0,0
166,8,8,0,0,3,0,5,0,0
167,8,8,0,0,3,0,5,0,0
168,8,8,0,0,3,0,5,0,0
169,8,8,0,0,3,0,5,0,0
170,8,8,0,0,3,0,5,0,0
171,8,8,0,0,3,0,5,0,0
172,8,8,0,0,3,0,5,0,0
173,8,8,0,0,3,0,5,0,0
174,8,8,0,0,3,0,5,0,0
175,8,8,0,0,3,0,5,0,0
176,8,8,0,0,3,0,5,0,0
177,8,8,0,0,3,0,5,0,0
178,8,8,0,0,3,0,5,0,0
179,8,8,0,0,3,0,5,0,0
180,8,8,0,0,3,0,5,0,0
181,8,8,0,0,3,0,5,0,0
182,8,8,0,0,3,0,5,0,0
183,8,8,0,0,3,0,5,0,0
184,8,8,0,0,3,0,5,0,0
185,8,8,0,0,3,0,5,0,0
186,8,8,0,0,3,0,5,0,0
187,8,8,0,0,3,0,5,0,0
188,8,8,0,0,3,0,5,0,0
189,8,8,0,0,3,0,5,0,0
190,8,8,0,0,3,0,5,0,0
191,8,8,0,0,3,0,5,0,0
192,8,8,0,0,3,0,5,0,0
193,8,8,0,0,3,0,5,0,0
194,8,8,0,0,3,0,5,0,0
195,8,8,0,0,3,0,5,0,0
196,8,8,0,0,3,0,5,0,0
197,8,8,0,0,3,0,5,0,0
198,8,8,0,0,3,0,5,0,0
199,8,8,0,0,3,0,5,0,0
200,8,8,0,0,3,0,5,0,0
201,8,8,0,0,3,0,5,0,0
202,8,8,0,0,3,0,5,0,0
203,8,8,0,0,3,0,5,0,0
204,8,8,0,0,3,0,5,0,0
205,8,8,0,0,3,0,5,0,0
206,8,8,0,0,3,0,5,0,0
207,8,8,0,0,3,0,5,0,0
208,8,8,0,0,3,0,5,0,0
209,8,8,0,0,3,0,5,0,0
210,8,8,0,0,3,0,5,0,0
211,8,8,0,0,3,0,5,0,0
212,8,8,0,0,3,0,5,0,0
213,8,8,0,0,3,0,5,0,0
214,8,8,0,0,3,0,5,0,0
215,8,8,0,0,3,0,5,0,0
216,8,8,0,0,3,0,5,0,0
217,8,8,0,0,3,0,5,0,0
218,8,8,0,0,3,0,5,0,0
219,8,8,0,0,3,0,5,0,0
220,8,8,0,0,3,0,5,0,0
221,8,8,0,0,3,0,5,0,0
222,8,8,0,0,3,0,5,0,0
223,8,8,0,0,3,0,5,0,0
224,8,8,0,0,3,0,5,0,0
225,8,8,0,0,3,0,5,0,0
226,8,8,0,0,3,0,5,0,0
227,8,8,0,0,3,0,5,0,0
228,8,8,0,0,3,0,5,0,0
229,8,8,0,0,3,0,5,0,0
230,8,8,0,0,3,0,5,0,0
231,8,8,0,0,3,0,5,0,0
232,8,8,0,0,3,0,5,0,0
233,8,8,0,0,3,0,5,0,0
234,8,8,0,0,3,0,5,0,0
235,8,8,0,0,3,0,5,0,0
236,8,8,0,0,3,0,5,0,0
237,8,8,0,0,3,0,5,0,0
238,8,8,0,0,3,0,5,0,0
239,8,8,0,0,3,0,5,0,0
240,0,0,0,0,0,0,0,0,0
