modeled_time,plants_baseline,plants_experiment,rabbits_baseline,rabbits_experiment,voles_baseline,voles_experiment,foxes_baseline,foxes_experiment,owls_baseline,owls_experiment,caterpillars_baseline,caterpillars_experiment,bluetits_baseline,bluetits_experiment,capacity_baseline,capacity_experiment,refuge_cover_percent_baseline,refuge_cover_percent_experiment
5.5,135.90418,135.90418,22.36899,22.36899,6.37341,6.37341,10.04444,10.04444,6.41818,6.41818,10.11326,10.11326,6.32470,6.32470,180.00,180.00,10.00,10.00
5.6,136.64763,136.64763,22.10294,22.10294,6.13848,6.13848,10.04777,10.04777,6.40121,6.40121,9.94207,9.94207,6.33986,6.33986,180.00,180.00,10.00,10.00
5.7,137.38878,137.38878,21.83653,21.83653,5.90991,5.90991,10.05037,10.05037,6.38335,6.38335,9.77182,9.77182,6.35451,6.35451,180.00,180.00,10.00,10.00
5.8,138.12714,138.12714,21.56981,21.56981,5.68765,5.68765,10.05222,10.05222,6.36459,6.36459,9.60255,9.60255,6.36866,6.36866,180.00,180.00,10.00,10.00
5.9,138.86222,138.86222,21.30288,21.30288,5.47165,5.47165,10.05332,10.05332,6.34496,6.34496,9.43429,9.43429,6.38228,6.38228,180.00,180.00,10.00,10.00
6.0,139.59357,139.59357,21.03581,21.03581,5.26186,5.26186,10.05366,10.05366,6.32446,6.32446,9.26708,9.26708,6.39538,6.39538,180.00,180.00,10.00,10.00
6.1,140.32073,140.32073,20.76867,20.76867,5.05822,5.05822,10.05324,10.05324,6.30313,6.30313,9.10096,9.10096,6.40794,6.40794,180.00,180.00,10.00,10.00
6.2,141.04329,141.04329,20.50156,20.50156,4.86067,4.86067,10.05205,10.05205,6.28097,6.28097,8.93597,8.93597,6.41995,6.41995,180.00,180.00,10.00,10.00
6.3,141.76084,141.76084,20.23454,20.23454,4.66914,4.66914,10.05009,10.05009,6.25800,6.25800,8.77214,8.77214,6.43140,6.43140,180.00,180.00,10.00,10.00
6.4,142.47300,142.47300,19.96771,19.96771,4.48356,4.48356,10.04734,10.04734,6.23425,6.23425,8.60952,8.60952,6.44229,6.44229,180.00,180.00,10.00,10.00
6.5,143.17940,143.17940,19.70115,19.70115,4.30384,4.30384,10.04382,10.04382,6.20974,6.20974,8.44813,8.44813,6.45261,6.45261,180.00,180.00,10.00,10.00
6.6,143.87970,143.87970,19.43493,19.43493,4.12990,4.12990,10.03951,10.03951,6.18449,6.18449,8.28802,8.28802,6.46234,6.46234,180.00,180.00,10.00,10.00
