input_voltage_V,base_current_A,collector_current_A,collector_voltage_V,drive_voltage_V,region,project,supply_voltage_V,base_resistance_ohm,lamp_resistance_ohm,divider_resistance_ohm,beta,model_vbe_V,model_vce_sat_V,light_dark_resistance_ohm,light_bright_resistance_ohm
2.175,0.00011947500108722249,0.01194750010872225,2.371549976081105,2.175,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.2,0.00012150000110565002,0.012150000110565003,2.3269999756756996,2.2,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.225,0.0001235250011240775,0.01235250011240775,2.282449975270295,2.225,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.25,0.000125550001142505,0.0125550001142505,2.2378999748648902,2.25,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.275,0.00012757500116093249,0.01275750011609325,2.193349974459485,2.275,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.3,0.00012960000117936,0.012960000117936,2.14879997405408,2.3,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.325,0.00013162500119778752,0.013162500119778752,2.104249973648675,2.325,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.35,0.000133650001216215,0.013365000121621501,2.0596999732432697,2.35,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.375,0.0001356750012346425,0.013567500123464249,2.0151499728378655,2.375,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.4,0.00013770000125307,0.013770000125307,1.9705999724324599,2.4,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.425,0.0001397250012714975,0.01397250012714975,1.9260499720270552,2.425,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.45,0.000141750001289925,0.0141750001289925,1.8814999716216496,2.45,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.475,0.00014377500130835253,0.014377500130835252,1.8369499712162445,2.475,active,manual,5,12345.6789,220,,100,0.7,0.2,,
