relative_light_level,base_current_A,collector_current_A,collector_voltage_V,drive_voltage_V,region,project,supply_voltage_V,base_resistance_ohm,lamp_resistance_ohm,divider_resistance_ohm,beta,model_vbe_V,model_vce_sat_V,light_dark_resistance_ohm,light_bright_resistance_ohm
9,0.00019494916086542038,0.01949491608654204,0.7111184609607513,2.6494916086542037,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
9.5,0.00019451568551552627,0.019451568551552625,0.7206549186584228,2.645156855155263,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
10,0.00019407357910813388,0.019407357910813387,0.7303812596210548,2.6407357910813385,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
10.5,0.00019362270200015523,0.019362270200015522,0.7403005559965852,2.6362270200015523,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
11,0.00019316291369539973,0.019316291369539974,0.7504158987012053,2.6316291369539977,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
11.5,0.00019269407290729328,0.01926940729072933,0.7607303960395475,2.626940729072933,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
12,0.00019221603762517928,0.019221603762517928,0.7712471722460563,2.6221603762517933,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
12.5,0.00019172866518429028,0.01917286651842903,0.7819693659456135,2.617286651842903,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
13,0.0001912318123394803,0.01912318123394803,0.792900128531433,2.612318123394803,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
13.5,0.00019072533534280272,0.019072533534280272,0.8040426224583399,2.6072533534280273,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
14,0.00019020909002501825,0.019020909002501824,0.8154000194495987,2.602090900250183,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
14.5,0.0001896829318811137,0.018968293188111367,0.8269754986154991,2.596829318811137,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
15,0.00018914671615990973,0.018914671615990974,0.8387722444819854,2.591467161599098,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
15.5,0.00018860029795783232,0.01886002979578323,0.8507934449276888,2.5860029795783235,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
16,0.00018804353231691772,0.018804353231691773,0.8630422890278098,2.5804353231691772,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
16.5,0.0001874762743271173,0.01874762743271173,0.8755219648034194,2.574762743271173,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
17,0.0001868983792329641,0.018689837923296412,0.8882356568747891,2.5689837923296412,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
17.5,0.0001863097025446558,0.018630970254465577,0.9011865440175733,2.5630970254465577,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
18,0.00018571010015360493,0.018571010015360493,0.9143777966206912,2.557101001536049,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
18.5,0.0001850994284525003,0.01850994284525003,0.9278125740449932,2.550994284525003,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
19,0.00018447754445991544,0.018447754445991543,0.9414940218818604,2.5447754445991544,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
19.5,0.00018384430594949483,0.018384430594949482,0.9554252691111138,2.538443059494948,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
20,0.00018319957158373845,0.018319957158373847,0.9696094251577536,2.5319957158373843,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
20.5,0.00018254320105239833,0.01825432010523983,0.9840495768472373,2.525432010523983,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
21,0.00018187505521549067,0.018187505521549067,0.9987487852592052,2.518750552154906,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
21.5,0.00018119499625091816,0.018119499625091816,1.0137100824798004,2.5119499625091812,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
22,0.00018050288780668624,0.018050288780668625,1.0289364682529025,2.505028878066862,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
22.5,0.00017979859515768678,0.01797985951576868,1.0444309065308905,2.497985951576868,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
23,0.00017908198536701098,0.017908198536701097,1.0601963219257589,2.49081985367011,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
23.5,0.00017835292745174073,0.017835292745174074,1.0762355960617036,2.483529274517408,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
24,0.00017761129255315647,0.017761129255315648,1.0925515638305576,2.476112925531565,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
24.5,0.00017685695411128407,0.017685695411128407,1.1091470095517506,2.468569541112841,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
25,0.00017608978804369292,0.01760897880436929,1.126024663038756,2.4608978804369293,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
25.5,0.00017530967292843786,0.017530967292843785,1.143187195574367,2.453096729284379,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
26,0.00017451649019102888,0.01745164901910289,1.1606372157973643,2.445164901910288,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
26.5,0.00017371012429529098,0.017371012429529098,1.1783772655035984,2.43710124295291,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
27,0.0001728904629379661,0.01728904629379661,1.1964098153647456,2.4289046293796606,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
27.5,0.00017205739724688706,0.017205739724688706,1.2147372605684845,2.42057397246887,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
28,0.0001712108219825409,0.01712108219825409,1.2333619163841005,2.412108219825409,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
28.5,0.00017035063574282014,0.017035063574282014,1.2522860136579568,2.403506357428202,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
29,0.00016947674117074048,0.016947674117074048,1.2715116942437095,2.3947674117074045,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
29.5,0.00016858904516488932,0.016858904516488932,1.291041006372435,2.3858904516488932,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
30,0.00016768745909234766,0.016768745909234765,1.3108758999683516,2.3768745909234767,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
30.5,0.00016677189900381024,0.016677189900381025,1.3310182219161746,2.367718990038102,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
31,0.00016584228585061068,0.01658422858506107,1.351469711286565,2.3584228585061062,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
31.5,0.00016489854570333811,0.016489854570333813,1.3722319945265613,2.348985457033381,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
32,0.00016394060997171282,0.01639406099717128,1.3933065806223182,2.3394060997171287,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
32.5,0.0001629684156253705,0.01629684156253705,1.4146948562418489,2.3296841562537045,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
33,0.00016198190541518253,0.01619819054151825,1.4363980808659846,2.319819054151825,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
33.5,0.00016098102809472567,0.016098102809472565,1.4584173819160355,2.3098102809472563,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
34,0.00015996573864148996,0.015996573864148995,1.4807537498872212,2.2996573864149,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
34.5,0.00015893599847740107,0.01589359984774011,1.503408033497176,2.2893599847740105,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
35,0.0001578917756882097,0.01578917756882097,1.5263809348593864,2.2789177568820964,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
35.5,0.00015683304524128844,0.015683304524128843,1.5496730046916545,2.2683304524128847,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
36,0.00015575978920135615,0.015575978920135614,1.5732846375701648,2.2575978920135613,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
36.5,0.00015467199694363412,0.015467199694363411,1.5972160672400495,2.2467199694363416,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
37,0.00015356966536392573,0.015356966536392572,1.6214673619936342,2.2356966536392577,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
37.5,0.00015245279908509318,0.015245279908509317,1.64603842012795,2.2245279908509312,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
38,0.00015132141065939367,0.015132141065939367,1.6709289654933395,2.213214106593936,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
38.5,0.00015017552076612676,0.015017552076612676,1.6961385431452114,2.2017552076612676,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
39,0.00014901515840402913,0.014901515840402913,1.7216665151113593,2.1901515840402914,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
39.5,0.00014784036107784893,0.014784036107784893,1.7475120562873236,2.178403610778489,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
40,0.0001466511749785197,0.014665117497851972,1.7736741504725662,2.1665117497851973,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
40.5,0.00014544765515635096,0.014544765515635095,1.800151586560279,2.1544765515635094,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
41,0.00014422986568664363,0.014422986568664363,1.8269429548938403,2.142298656866436,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
41.5,0.0001429978798271413,0.01429978798271413,1.8540466438028913,2.1299787982714125,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
42,0.00014175178016672188,0.014175178016672188,1.8814608363321188,2.1175178016672183,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
42.5,0.0001404916587647392,0.01404916587647392,1.9091835071757375,2.1049165876473923,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
43,0.00013921761728042628,0.013921761728042627,1.937212419830622,2.0921761728042627,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
43.5,0.000137929767091776,0.013792976709177599,1.9655451239809283,2.07929767091776,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
44,0.00013662822940332565,0.013662822940332565,1.9941789531268355,2.0662822940332566,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
44.5,0.00013531313534227954,0.013531313534227953,2.02311102246985,2.0531313534227955,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
45,0.00013398462604241707,0.013398462604241707,2.0523382270668247,2.039846260424171,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
45.5,0.00013264285271524925,0.013264285271524925,2.0818572402645166,2.0264285271524924,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
