"RepresentativePath","TopArea","Extension","Lines","Bytes","DuplicateCount","DuplicatePaths","Sha256"
"lang/turkish.js","lang",".js","16528","1556167",,"lang/turkish.js","124DAE843B6FAF20CCCE1754DE2559F3FE74CB216781B5DCF1EF3C81A945B8DB"
"lang/ukrainian.js","lang",".js","16674","1713906",,"lang/ukrainian.js","4A1C84718F1F551B95FF6EEA5C6612AC9C22A453DFD2A7AD3F7FF2D12DC36F44"
"lang/urdu.js","lang",".js","16560","1513848",,"lang/urdu.js","1F0629A3B8178DBFCC52EE8B44755FEA5DDED23B9E71228FDD1B7D9D401CEB22"
"lang/vietnamese.js","lang",".js","16342","1704232",,"lang/vietnamese.js","99A5B1317C0B19B695AC3D670DB61289A6D068237D064CECF7C4EAD7FD8D8754"
"lang/yoruba.js","lang",".js","16682","1267760",,"lang/yoruba.js","4208F45C2F729D79C6A51AA9829706A970D43CFFD538951BF2EE45A952737217"
"music_studio/open_groove_audio.js","music_studio",".js","296","13074",,"music_studio/open_groove_audio.js","B90E1E2CA91ADD74215FB578914A932FD8D170A0769731D3182C7974AB055E72"
"music_studio/open_groove_core.js","music_studio",".js","1382","59191",,"music_studio/open_groove_core.js","5E29C9DB1D7C5AB3F13BE5FAEA7FC42FF67259F2AA7BDFE7F22D0AE1961D35B5"
"music_studio/open_groove_module.js","music_studio",".js","981","52559",,"music_studio/open_groove_module.js","9B422E2866EB1ABD0B1EF266D45E1912E855FF4DC9D68CEF8329743BFAE3B91D"
"music_studio/open_groove_scheduler.js","music_studio",".js","189","8062",,"music_studio/open_groove_scheduler.js","FC67CD43D0350BF63E45CC93B76D47BC4075909C542DED9EE332EB2609139F14"
"my-video/.agents/skills/remotion-best-practices/rules/assets/charts-bar-chart.tsx","my-video",".tsx","173","3602",,"my-video/.agents/skills/remotion-best-practices/rules/assets/charts-bar-chart.tsx","17CD31FF098E6AC784C06480D6D3A126F6F72365654F76FA6E9B2526DAAB88F0"
"my-video/.agents/skills/remotion-best-practices/rules/assets/text-animations-typewriter.tsx","my-video",".tsx","100","2283",,"my-video/.agents/skills/remotion-best-practices/rules/assets/text-animations-typewriter.tsx","FC710C71560DF2837463DC0816CD0BD6459ADD1178EC7F031950A57EED9B94F1"
"my-video/.agents/skills/remotion-best-practices/rules/assets/text-animations-word-highlight.tsx","my-video",".tsx","103","2483",,"my-video/.agents/skills/remotion-best-practices/rules/assets/text-animations-word-highlight.tsx","162A9AD6F76B13BA01C2FFE9E344C6E4F1498CEF48F6D7365571E60B2F0AC0E9"
"my-video/eslint.config.mjs","my-video",".mjs","3","79",,"my-video/eslint.config.mjs","7F2CA640409FD597965BEDF929073B9A74F143643E1711150C4CAC3B6EC5C80D"
"my-video/remotion.config.ts","my-video",".ts","13","410",,"my-video/remotion.config.ts","E0C35BEF34D60E1B6A23A305842C8E7EF574F760F55FC66E5D4834632BC204E8"
