modeled_time,plants_baseline,plants_experiment,rabbits_baseline,rabbits_experiment,voles_baseline,voles_experiment,foxes_baseline,foxes_experiment,owls_baseline,owls_experiment,caterpillars_baseline,caterpillars_experiment,bluetits_baseline,bluetits_experiment,capacity_baseline,capacity_experiment,refuge_cover_percent_baseline,refuge_cover_percent_experiment,soil_detritus_baseline,soil_detritus_experiment,soil_decomposers_baseline,soil_decomposers_experiment,soil_nutrients_baseline,soil_nutrients_experiment,soil_exported_baseline,soil_exported_experiment
3.6,79.52639,79.52639,26.85253,26.85253,11.85700,11.85700,9.84729,9.84729,6.55348,6.55348,13.32167,13.32167,5.95184,5.95184,180.00,180.00,10.00,10.00,39.46582278,39.46582278,12.31565285,12.31565285,0.01159318,0.01159318,0.00000000,0.00000000
3.7,78.51138,78.51138,26.56914,26.56914,11.48881,11.48881,9.86241,9.86241,6.55418,6.55418,13.12497,13.12497,5.97419,5.97419,180.00,180.00,10.00,10.00,39.63291925,39.63291925,12.46823354,12.46823354,0.01174834,0.01174834,0.00000000,0.00000000
3.8,77.54628,77.54628,26.28327,26.28327,11.12668,11.12668,9.87691,9.87691,6.55389,6.55389,12.92823,12.92823,5.99620,5.99620,180.00,180.00,10.00,10.00,39.79467106,39.79467106,12.62278932,12.62278932,0.01190521,0.01190521,0.00000000,0.00000000
3.9,76.63056,76.63056,25.99504,25.99504,10.77071,10.77071,9.89077,9.89077,6.55259,6.55259,12.73152,12.73152,6.01783,6.01783,180.00,180.00,10.00,10.00,39.95109924,39.95109924,12.77933741,12.77933741,0.01206378,0.01206378,0.00000000,0.00000000
4.0,75.76370,75.76370,25.70457,25.70457,10.42105,10.42105,9.90399,9.90399,6.55029,6.55029,12.53492,12.53492,6.03909,6.03909,180.00,180.00,10.00,10.00,40.10222564,40.10222564,12.93789508,12.93789508,0.01222409,0.01222409,0.00000000,0.00000000
4.1,74.94517,74.94517,25.41199,25.41199,10.07779,10.07779,9.91653,9.91653,6.54696,6.54696,12.33851,12.33851,6.05996,6.05996,180.00,180.00,10.00,10.00,40.24807285,40.24807285,13.09847964,13.09847964,0.01238614,0.01238614,0.00000000,0.00000000
4.2,74.17445,74.17445,25.11743,25.11743,9.74107,9.74107,9.92840,9.92840,6.54262,6.54262,12.14235,12.14235,6.08043,6.08043,180.00,180.00,10.00,10.00,40.38866416,40.38866416,13.26110846,13.26110846,0.01254994,0.01254994,0.00000000,0.00000000
4.3,73.45098,73.45098,24.82103,24.82103,9.41097,9.41097,9.93958,9.93958,6.53724,6.53724,11.94652,11.94652,6.10049,6.10049,180.00,180.00,10.00,10.00,40.52402346,40.52402346,13.42579893,13.42579893,0.01271551,0.01271551,0.00000000,0.00000000
4.4,72.77424,72.77424,24.52291,24.52291,9.08758,9.08758,9.95005,9.95005,6.53083,6.53083,11.75111,11.75111,6.12012,6.12012,180.00,180.00,10.00,10.00,40.65417522,40.65417522,13.59256845,13.59256845,0.01288287,0.01288287,0.00000000,0.00000000
4.5,72.14369,72.14369,24.22323,24.22323,8.77100,8.77100,9.95980,9.95980,6.52339,6.52339,11.55617,11.55617,6.13931,6.13931,180.00,180.00,10.00,10.00,40.77914439,40.77914439,13.76143446,13.76143446,0.01305203,0.01305203,0.00000000,0.00000000
4.6,71.55879,71.55879,23.92212,23.92212,8.46129,8.46129,9.96883,9.96883,6.51491,6.51491,11.36179,11.36179,6.15806,6.15806,180.00,180.00,10.00,10.00,40.89895636,40.89895636,13.93241441,13.93241441,0.01322299,0.01322299,0.00000000,0.00000000
4.7,71.01900,71.01900,23.61973,23.61973,8.15853,8.15853,9.97710,9.97710,6.50540,6.50540,11.16805,11.16805,6.17634,6.17634,180.00,180.00,10.00,10.00,41.01363688,41.01363688,14.10552573,14.10552573,0.01339578,0.01339578,0.00000000,0.00000000
4.8,70.52379,70.52379,23.31619,23.31619,7.86276,7.86276,9.98462,9.98462,6.49486,6.49486,10.97501,10.97501,6.19415,6.19415,180.00,180.00,10.00,10.00,41.12321201,41.12321201,14.28078586,14.28078586,0.01357040,0.01357040,0.00000000,0.00000000
4.9,70.07263,70.07263,23.01167,23.01167,7.57404,7.57404,9.99137,9.99137,6.48328,6.48328,10.78276,10.78276,6.21148,6.21148,180.00,180.00,10.00,10.00,41.22770808,41.22770808,14.45821223,14.45821223,0.01374686,0.01374686,0.00000000,0.00000000
5.0,69.66501,69.66501,22.70630,22.70630,7.29240,7.29240,9.99734,9.99734,6.47069,6.47069,10.59136,10.59136,6.22831,6.22831,180.00,180.00,10.00,10.00,41.32715160,41.32715160,14.63782224,14.63782224,0.01392518,0.01392518,0.00000000,0.00000000
5.1,69.30040,69.30040,22.40024,22.40024,7.01786,7.01786,10.00252,10.00252,6.45708,6.45708,10.40089,10.40089,6.24462,6.24462,180.00,180.00,10.00,10.00,41.42156925,41.42156925,14.81963326,14.81963326,0.01410538,0.01410538,0.00000000,0.00000000
5.2,68.97830,68.97830,22.09364,22.09364,6.75044,6.75044,10.00690,10.00690,6.44246,6.44246,10.21142,10.21142,6.26043,6.26043,180.00,180.00,10.00,10.00,41.51098777,41.51098777,15.00366262,15.00366262,0.01428745,0.01428745,0.00000000,0.00000000
5.3,68.69821,68.69821,21.78664,21.78664,6.49015,6.49015,10.01046,10.01046,6.42684,6.42684,10.02302,10.02302,6.27569,6.27569,180.00,180.00,10.00,10.00,41.59543399,41.59543399,15.18992761,15.18992761,0.01447141,0.01447141,0.00000000,0.00000000
5.4,68.45963,68.45963,21.47941,21.47941,6.23699,6.23699,10.01319,10.01319,6.41024,6.41024,9.83576,9.83576,6.29042,6.29042,180.00,180.00,10.00,10.00,41.67493473,41.67493473,15.37844544,15.37844544,0.01465727,0.01465727,0.00000000,0.00000000
5.5,68.26208,68.26208,21.17208,21.17208,5.99092,5.99092,10.01509,10.01509,6.39267,6.39267,9.64971,9.64971,6.30459,6.30459,180.00,180.00,10.00,10.00,41.74951675,41.74951675,15.56923328,15.56923328,0.01484504,0.01484504,0.00000000,0.00000000
5.6,68.10509,68.10509,20.86482,20.86482,5.75194,5.75194,10.01615,10.01615,6.37414,6.37414,9.46494,9.46494,6.31820,6.31820,180.00,180.00,10.00,10.00,41.81920678,41.81920678,15.76230819,15.76230819,0.01503473,0.01503473,0.00000000,0.00000000
5.7,67.98819,67.98819,20.55777,20.55777,5.52001,5.52001,10.01635,10.01635,6.35466,6.35466,9.28152,9.28152,6.33123,6.33123,180.00,180.00,10.00,10.00,41.88403142,41.88403142,15.95768716,15.95768716,0.01522635,0.01522635,0.00000000,0.00000000
5.8,67.91095,67.91095,20.25108,20.25108,5.29507,5.29507,10.01569,10.01569,6.33426,6.33426,9.09950,9.09950,6.34368,6.34368,180.00,180.00,10.00,10.00,41.94401712,41.94401712,16.15538709,16.15538709,0.01541990,0.01541990,0.00000000,0.00000000
5.9,67.87291,67.87291,19.94490,19.94490,5.07709,5.07709,10.01417,10.01417,6.31296,6.31296,8.91896,8.91896,6.35553,6.35553,180.00,180.00,10.00,10.00,41.99919017,41.99919017,16.35542476,16.35542476,0.01561540,0.01561540,0.00000000,0.00000000
6.0,67.87366,67.87366,19.63938,19.63938,4.86599,4.86599,10.01177,10.01177,6.29077,6.29077,8.73995,8.73995,6.36678,6.36678,180.00,180.00,10.00,10.00,42.04957666,42.04957666,16.55781682,16.55781682,0.01581286,0.01581286,0.00000000,0.00000000
